time,Nodes1Paths2.timeDiffObserver_Std.ScaledTimeDiff:vector
9.84,9.50131e-07
9.85,1.06076e-06
9.86,1.03471e-06
9.87,7.25841e-07
9.88,4.32303e-07
9.89,1.60688e-07
9.9,-5.4702e-08
9.91,-1.49269e-07
9.92,-1.8982e-07
9.93,-2.4542e-07
9.94,-2.60065e-07
9.95,-2.42275e-07
9.96,-2.19612e-07
9.97,-4.23397e-07
9.98,-9.23517e-07
9.99,-7.68242e-07
10,-4.47868e-07
10.01,2.3032e-08
10.02,2.49236e-07
10.03,3.25836e-07
10.04,1.09346e-07
10.05,5.6825e-08
10.06,1.05743e-07
10.07,1.66353e-07
10.08,2.12786e-07
10.09,2.44796e-07
10.1,2.77645e-07
10.11,3.04928e-07
10.12,3.22638e-07
10.13,3.05125e-07
10.14,4.82063e-07
10.15,1.28261e-06
10.16,1.37725e-06
10.17,1.15488e-06
10.18,1.02042e-06
10.19,1.2135e-06
10.2,1.66575e-06
10.21,1.81208e-06
10.22,1.79481e-06
10.23,1.56457e-06
10.24,1.40919e-06
10.25,1.27196e-06
10.26,1.15031e-06
10.27,7.22784e-07
10.28,2.85007e-07
10.29,2.70527e-07
10.3,2.66653e-07
10.31,2.49158e-07
10.32,-9.8442e-08
10.33,-1.28695e-07
10.34,1.63615e-07
10.35,2.05286e-07
10.36,2.25449e-07
10.37,2.40259e-07
10.38,2.52405e-07
10.39,4.31051e-07
10.4,1.12579e-06
10.41,1.30776e-06
10.42,1.21756e-06
10.43,8.75892e-07
10.44,6.81006e-07
10.45,6.02736e-07
10.46,5.34218e-07
10.47,4.93107e-07
10.48,4.87837e-07
10.49,6.23942e-07
10.5,6.77789e-07
10.51,4.99709e-07
10.52,4.35385e-07
10.53,4.0686e-07
10.54,3.6388e-07
10.55,2.74979e-07
10.56,1.5875e-07
10.57,5.656e-08
10.58,-7.8155e-08
10.59,-2.46055e-07
10.6,-2.74542e-07
10.61,-2.37177e-07
10.62,-1.05177e-07
10.63,-1.3465e-07
10.64,-2.24196e-07
10.65,-3.80596e-07
10.66,-4.49262e-07
10.67,-4.79608e-07
10.68,-5.28018e-07
10.69,-5.55977e-07
10.7,-5.67687e-07
10.71,-6.07424e-07
10.72,-9.12121e-07
10.73,-1.56536e-06
10.74,-1.61261e-06
10.75,-1.57118e-06
10.76,-1.53433e-06
10.77,-1.91423e-06
10.78,-2.28258e-06
10.79,-1.96234e-06
10.8,-1.69878e-06
10.81,-1.46828e-06
10.82,-1.20952e-06
10.83,-9.66906e-07
10.84,-7.40726e-07
