time,Nodes1Paths2.timeDiffObserver_Voted.ScaledTimeDiff:vector
10.65,1.47294e-07
10.66,1.49486e-07
10.67,1.51787e-07
10.68,1.45647e-07
10.69,1.43052e-07
10.7,1.42012e-07
10.71,1.43065e-07
10.72,1.46078e-07
10.73,1.49828e-07
10.74,1.47188e-07
10.75,1.43049e-07
10.76,1.39547e-07
10.77,1.38272e-07
10.78,1.37283e-07
10.79,1.35658e-07
10.8,1.3611e-07
10.81,1.40398e-07
10.82,1.35993e-07
10.83,1.2959e-07
10.84,1.2534e-07
10.85,1.26108e-07
10.86,1.26708e-07
10.87,1.31352e-07
10.88,1.27714e-07
10.89,1.25077e-07
10.9,1.30653e-07
10.91,1.33823e-07
10.92,1.32992e-07
10.93,1.32953e-07
10.94,1.32397e-07
10.95,1.30758e-07
10.96,1.2924e-07
10.97,1.27811e-07
10.98,1.26671e-07
10.99,1.26333e-07
11,1.26884e-07
11.01,1.28163e-07
11.02,1.30037e-07
11.03,1.33134e-07
11.04,1.34243e-07
11.05,1.33013e-07
11.06,1.31344e-07
11.07,1.30808e-07
11.08,1.30125e-07
11.09,1.29485e-07
11.1,1.28927e-07
11.11,1.28712e-07
11.12,1.29057e-07
11.13,1.31425e-07
11.14,1.36676e-07
11.15,1.37268e-07
11.16,1.3572e-07
11.17,1.33425e-07
11.18,1.29985e-07
11.19,1.32893e-07
11.2,1.39779e-07
11.21,1.40123e-07
11.22,1.39907e-07
11.23,1.34967e-07
11.24,1.34628e-07
11.25,1.39297e-07
11.26,1.39855e-07
11.27,1.42661e-07
11.28,1.45963e-07
11.29,1.49994e-07
11.3,1.54189e-07
11.31,1.5784e-07
11.32,1.57329e-07
11.33,1.54669e-07
11.34,1.51629e-07
11.35,1.49233e-07
11.36,1.47438e-07
11.37,1.46672e-07
11.38,1.45814e-07
11.39,1.43675e-07
11.4,1.4594e-07
11.41,1.4621e-07
11.42,1.4487e-07
11.43,1.4942e-07
11.44,1.47192e-07
11.45,1.40623e-07
11.46,1.44738e-07
11.47,1.47745e-07
11.48,1.49595e-07
11.49,1.4861e-07
11.5,1.4788e-07
11.51,1.4858e-07
11.52,1.45477e-07
11.53,1.42082e-07
11.54,1.40406e-07
11.55,1.4442e-07
11.56,1.50618e-07
11.57,1.48335e-07
11.58,1.45955e-07
11.59,1.42815e-07
11.6,1.47295e-07
11.61,1.51213e-07
